,elementCd,element_name,units
0,TAVG,AIR TEMPERATURE AVERAGE,degrees fahrenheit
1,TMAX,AIR TEMPERATURE MAXIMUM,degrees fahrenheit
2,TMIN,AIR TEMPERATURE MINIMUM,degrees fahrenheit
3,TOBS,AIR TEMPERATURE OBSERVED,degrees fahrenheit
4,DPTP,DEW POINT TEMPERATURE,degrees fahrenheit
5,FMTMP,FUEL TEMPERATURE INTERNAL,degrees fahrenheit
6,TGSV,GROUND SURFACE INTERFACE TEMPERATURE AVERAGE,degrees fahrenheit
7,TGSX,GROUND SURFACE INTERFACE TEMPERATURE MAXIMUM,degrees fahrenheit
8,TGSN,GROUND SURFACE INTERFACE TEMPERATURE MINIMUM,degrees fahrenheit
9,TGSI,GROUND SURFACE INTERFACE TEMPERATURE OBSERVED,degrees fahrenheit
10,STV,SOIL TEMPERATURE AVERAGE,degrees fahrenheit
11,STX,SOIL TEMPERATURE MAXIMUM,degrees fahrenheit
12,STN,SOIL TEMPERATURE MINIMUM,degrees fahrenheit
13,STO,SOIL TEMPERATURE OBSERVED,degrees fahrenheit
14,WTEMP,WATER TEMPERATURE,degrees fahrenheit
15,WTAVG,WATER TEMPERATURE AVERAGE,degrees fahrenheit
16,WTMAX,WATER TEMPERATURE MAXIMUM,degrees fahrenheit
17,WTMIN,WATER TEMPERATURE MINIMUM,degrees fahrenheit
18,PRES,BAROMETRIC PRESSURE,inches Hg
19,BATT,BATTERY,volts
20,BATV,BATTERY AVERAGE,volts
21,BATX,BATTERY MAXIMUM,volts
22,BATN,BATTERY MINIMUM,volts
23,ETIB,BATTERY-ETI PRECIP GUAGE,volts
24,VOLT,GENERIC VOLTAGE,volts
25,ETIL,PULSE LINE MONITOR-ETI GUAGE,volts
26,COND,CONDUCTIVITY,
27,SRDOX,DISCHARGE MANUAL/EXTERNAL ADJUSTED MEAN,cfs
28,DIVD,DIVERSION DISCHARGE OBSERVED MEAN,cfs
29,SRDOO,RIVER DISCHARGE OBSERVED MEAN,cfs
30,DISO,DISSOLVED OXYGEN,milligrams/liter
31,DISP,DISSOLVED OXYGEN - PERCENT SATURATION,percent
32,FUEL,FUEL MOISTURE,percent
33,RHUM,RELATIVE HUMIDITY,percent
34,RHUMV,RELATIVE HUMIDITY AVERAGE,percent
35,RHENC,RELATIVE HUMIDITY ENCLOSURE,percent
36,RHUMX,RELATIVE HUMIDITY MAXIMUM,percent
37,RHUMN,RELATIVE HUMIDITY MINIMUM,percent
38,SNDN,Snow Density,percent
39,SMS,SOIL MOISTURE PERCENT,percent
40,SMV,SOIL MOISTURE PERCENT AVERAGE,percent
41,SMX,SOIL MOISTURE PERCENT MAXIMUM,percent
42,SMN,SOIL MOISTURE PERCENT MINIMUM,percent
43,DIV,DIVERSION FLOW VOLUME OBSERVED,acre feet
44,RESC,RESERVOIR STORAGE VOLUME,acre feet
45,SRVO,"STREAM VOLUME, ADJUSTED",acre feet
46,SRVOX,"STREAM VOLUME, ADJUSTED EXTERNAL",acre feet
47,SRVOO,"STREAM VOLUME, OBSERVED",acre feet
48,RESA,USABLE LAKE STORAGE VOLUME,acre feet
49,HFTV,ENERGY GAIN OR LOSS FROM GROUND,watts/meter squared
50,NTRDV,NET SOLAR RADIATION AVERAGE,watts/meter squared
51,NTRDX,NET SOLAR RADIATION MAXIMUM,watts/meter squared
52,NTRDN,NET SOLAR RADIATION MINIMUM,watts/meter squared
53,NTRDC,NET SOLAR RADIATION OBSERVED,watts/meter squared
54,SRAD,SOLAR RADIATION,watts/meter squared
55,SRADV,SOLAR RADIATION AVERAGE,watts/meter squared
56,SRADX,SOLAR RADIATION MAXIMUM,watts/meter squared
57,SRADN,SOLAR RADIATION MINIMUM,watts/meter squared
58,SRADT,SOLAR RADIATION TOTAL,watts/meter squared
59,EVAP,EVAPORATION,inches
60,PREC,PRECIPITATION ACCUMULATION,inches
61,PRCP,PRECIPITATION INCREMENT,inches
62,PRCPSA,PRECIPITATION INCREMENT - SNOW-ADJ,inches
63,PRCPMTD,PRECIPITATION MONTH-TO-DATE,inches
64,SNWD,SNOW DEPTH,inches
65,SNWDV,SNOW DEPTH AVERAGE,inches
66,SNWDX,SNOW DEPTH MAXIMUM,inches
67,SNWDN,SNOW DEPTH MINIMUM,inches
68,WTEQ,SNOW WATER EQUIVALENT,inches
69,WTEQV,SNOW WATER EQUIVALENT AVERAGE,inches
70,WTEQX,SNOW WATER EQUIVALENT MAXIMUM,inches
71,WTEQN,SNOW WATER EQUIVALENT MINIMUM,inches
72,WLEVV,WATER LEVEL AVERAGE,inches
73,WLEVX,WATER LEVEL MAXIMUM,inches
74,WLEVN,WATER LEVEL MINIMUM,inches
75,WLEV,WATER LEVEL OBSERVED,inches
76,AWDC,leaf wetness duration current,minutes
77,H2OPH,PH,unitless
78,RDC,REAL DIELECTRIC CONSTANT,unitless
79,SNRR,Snow Rain Ratio,unitless
80,OI,TELECONNECTION INDEX,unitless
81,PARV,PHOTOSYNTHETICALLY ACTIVE RADIATION (PAR) AVERAGE,micromoles/meters squared/second
82,REST,RESERVOIR STAGE,feet
83,SRMV,STREAM STAGE (GAUGE HEIGHT) AVERAGE,feet
84,SRMX,STREAM STAGE (GAUGE HEIGHT) MAXIMUM,feet
85,SRMN,STREAM STAGE (GAUGE HEIGHT) MINIMUM,feet
86,SRMO,STREAM STAGE (GAUGE HEIGHT) OBSERVED,feet
87,WELL,WELL DEPTH,feet
88,SAL,SALINITY,grams/liter
89,LRAD,SOLAR RADIATION/LANGLEY,langleys
90,LRADX,SOLAR RADIATION/LANGLEY MAXIMUM,langleys
91,LRADT,SOLAR RADIATION/LANGLEY TOTAL,langleys
92,TURB,TURBIDITY,nethelometric turbidity u
93,PVPV,VAPOR PRESSURE - PARTIAL,kPa
94,SVPV,VAPOR PRESSURE - SATURATED,kPa
95,WDIRV,WIND DIRECTION AVERAGE,degrees
96,WDIR,WIND DIRECTION OBSERVED,degrees
97,WDIRZ,WIND DIRECTION STANDARD DEVIATION,degrees
98,WDMVV,WIND MOVEMENT AVERAGE,miles
99,WDMVX,WIND MOVEMENT MAXIMUM,miles
100,WDMV,WIND MOVEMENT OBSERVED,miles
101,WDMVT,WIND MOVEMENT TOTAL,miles
102,WSPDV,WIND SPEED AVERAGE,miles/hour
103,WSPDX,WIND SPEED MAXIMUM,miles/hour
104,WSPDN,WIND SPEED MINIMUM,miles/hour
105,WSPD,WIND SPEED OBSERVED,miles/hour
