administrative_area_level_1,country,latitude,longitude,administrative_area_level_2
Newfoundland and Labrador,Canada,52.977947,-66.92094,
Newfoundland and Labrador,Canada,53.52358,-64.020094,
Newfoundland and Labrador,Canada,48.161777,-54.046468,
Newfoundland and Labrador,Canada,48.936666666667,-57.827222222222,
Alberta,Canada,51.206218724672,-115.6053711919,Improvement District No. 9
Rhode Island,United States,41.51692092898834,-71.52685222201887,Washington County
Salzburg,Austria,47.4061919209447,12.9063820838928,Zell am See District
Salzburg,Austria,47.12358544443816,13.651027679443361,Tamsweg District
Salzburg,Austria,47.3904,12.637,Zell am See District
Salzburg,Austria,47.32612882997507,13.303275676444175,St. Johann im Pongau District
Grand Est,France,47.90096619679433,6.860940456390382,Vosges
Hokkaido,Japan,43.16827229727268,141.78398082733156,
Hokkaido,Japan,42.865622,142.453927,Saru District
Hokkaido,Japan,42.845656,141.488544,
Hokkaido,Japan,42.951338044036966,141.2775368499756,
Hokkaido,Japan,42.930532499672914,141.4508504676819,
Saint Petersburg,Russia,60.2314410721982,29.68491447998059,
Leningrad Oblast,Russia,60.51431383489149,30.21275375643927,Priozersky District
Republic of Bashkortostan,Russia,53.59029189173161,58.58444461279299,Abzelilovsky District
Kabardino-Balkarian Republic,Russia,43.26886637160003,42.48020019531259,Elbrussky District
Leningrad Oblast,Russia,60.52752369916032,29.76911038537594,Priozersky District
Colorado,United States,38.01107557257562,-107.31189966201782,Hinsdale County
British Columbia,Canada,54.3346242,-126.65065879999997,Bulkley-Nechako
Gifu,Japan,35.474253192332,136.41479424344,Ibi District
New York,United States,43.77409973054262,-74.26547527313232,Hamilton County
Niigata,Japan,37.64704503331294,139.10231365332038,
Massachusetts,United States,42.62332572877809,-71.54112339019775,Middlesex County
Wisconsin,United States,44.11399624652874,-88.32173109054565,Calumet County
England,United Kingdom,52.04160639547832,-0.7480183601378485,Milton Keynes
Río Negro,Argentina,-41.506355810438485,-71.31618652343747,Bariloche Department
Scotland,United Kingdom,56.992429818850624,-3.492454624176048,Aberdeenshire
Lesser Poland Voivodeship,Poland,49.302223,20.074359,Tatra County
Podkarpackie Voivodeship,Poland,49.435427,22.567461,Bieszczady County
Lesser Poland Voivodeship,Poland,49.806393,19.949516,Myślenice County
Kuyavian-Pomeranian Voivodeship,Poland,53.169161,18.032759,Bydgoszcz
Tyrol,Austria,47.62861864101141,12.284880707348629,Kufstein District
Blagoevgrad Province,Bulgaria,41.759023888636264,23.545821571350075,Bansko
Sofia Province,Bulgaria,42.20999225885739,23.388536834716774,Samokov Municipality
Kyustendil Province,Bulgaria,42.23961066155408,23.32725372314451,Sapareva banya
Žabljak Municipality,Montenegro,43.1226978117824,19.104383850097634,
,Serbia,43.8959479766073,22.2817501068115,Zaječar District
Quebec,Canada,46.74062526454261,-71.20119094848633,Chaudière-Appalaches
Piedmont,Italy,44.23310475687933,7.398467236523456,Province of Cuneo
Piedmont,Italy,44.30375003540098,7.321593697558595,Province of Cuneo
Illinois,United States,42.43507379368418,-88.22683453559875,McHenry County
England,United Kingdom,54.67042362329429,-2.474780780483188,Cumbria
